product_id,warehouse_id,stock_qty,reorder_level
79,8,424,137
80,1,323,194
80,2,210,263
80,3,558,274
80,4,192,126
80,5,756,179
80,6,780,257
80,7,354,197
80,8,208,265
81,1,384,181
81,2,255,194
81,3,159,241
81,4,398,164
81,5,265,114
81,6,62,127
81,7,600,260
81,8,742,203
82,1,71,155
82,2,526,208
82,3,531,287
82,4,181,176
82,5,637,248
82,6,661,120
82,7,165,276
82,8,252,141
83,1,161,213
83,2,672,202
83,3,111,110
83,4,470,222
83,5,215,155
83,6,760,195
83,7,22,108
83,8,645,230
84,1,455,136
84,2,310,118
84,3,697,114
84,4,546,281
84,5,451,186
84,6,84,212
84,7,29,270
84,8,200,285
85,1,188,196
85,2,322,101
85,3,473,244
85,4,711,189
85,5,601,150
85,6,500,121
85,7,575,182
85,8,549,217
86,1,458,236
86,2,660,139
86,3,430,255
86,4,654,120
86,5,81,285
86,6,712,184
86,7,643,268
86,8,324,244
87,1,604,207
87,2,397,223
87,3,692,265
87,4,160,176
87,5,371,235
87,6,668,107
87,7,213,156
87,8,714,289
88,1,478,276
88,2,107,137
88,3,696,248
88,4,400,242
88,5,614,206
88,6,388,235
88,7,266,244
88,8,471,201
89,1,287,129
89,2,252,146
89,3,227,240
89,4,787,128
89,5,246,164
89,6,685,124
89,7,212,235
89,8,706,164
90,1,746,225
90,2,252,241
90,3,489,157
90,4,574,246
90,5,733,128
90,6,773,231
90,7,622,245
90,8,102,204
91,1,715,118
91,2,470,134
91,3,535,240
91,4,539,282
91,5,795,129
91,6,661,284
91,7,547,126
91,8,491,275
92,1,421,239
92,2,195,149
92,3,596,221
92,4,115,135
92,5,402,298
92,6,653,114
92,7,434,160
92,8,68,195
93,1,62,103
93,2,738,252
93,3,238,217
93,4,327,130
93,5,744,134
93,6,456,122
93,7,656,151
93,8,596,129
94,1,765,190
94,2,192,193
94,3,783,187
94,4,773,274
94,5,31,165
94,6,145,161
94,7,401,231
94,8,774,234
95,1,385,284
95,2,520,111
95,3,638,190
95,4,122,191
95,5,582,183
95,6,637,128
95,7,54,272
95,8,268,165
96,1,382,149
96,2,730,214
96,3,41,248
96,4,470,129
96,5,41,224
96,6,133,118
96,7,284,147
96,8,173,241
97,1,316,275
97,2,705,197
97,3,167,250
97,4,276,237
97,5,726,294
97,6,295,213
97,7,34,106
97,8,370,138
98,1,518,228
98,2,515,108
98,3,56,119
98,4,206,258
98,5,680,273
98,6,634,200
98,7,507,140
98,8,729,214
99,1,422,158
99,2,645,232
99,3,97,192
99,4,357,235
99,5,241,179
99,6,154,250
99,7,659,111
99,8,236,143
100,1,389,286
100,2,498,184
100,3,610,219
100,4,417,190
100,5,341,101
100,6,363,248
100,7,515,185
100,8,252,105
101,1,274,217
101,2,643,111
101,3,666,137
101,4,764,271
101,5,167,169
101,6,413,169
101,7,85,228
101,8,288,191
102,1,602,246
102,2,560,249
102,3,162,278
102,4,54,243
102,5,117,151
102,6,456,262
102,7,605,262
102,8,121,192
103,1,308,160
103,2,164,274
103,3,93,177
103,4,369,289
103,5,391,230
103,6,670,162
103,7,378,240
103,8,752,203
104,1,362,115
104,2,741,186
104,3,707,182
104,4,513,228
104,5,396,162
104,6,260,189
104,7,174,134
104,8,230,101
105,1,707,216
105,2,434,214
105,3,425,245
105,4,329,143
105,5,620,116
105,6,167,177
105,7,757,178
105,8,278,286
106,1,605,241
106,2,694,187
106,3,95,148
106,4,617,120
106,5,618,145
106,6,331,248
106,7,381,219
106,8,385,298
107,1,726,209
107,2,758,117
107,3,516,181
107,4,199,170
107,5,283,239
107,6,43,294
107,7,188,260
107,8,294,160
108,1,741,105
108,2,243,112
108,3,429,214
108,4,225,254
108,5,309,228
108,6,683,125
108,7,221,161
108,8,771,114
109,1,152,253
109,2,69,120
109,3,95,247
109,4,369,284
109,5,159,101
109,6,212,169
109,7,569,264
109,8,35,263
110,1,350,107
110,2,237,182
110,3,354,291
110,4,47,266
110,5,517,203
110,6,644,273
110,7,365,144
110,8,78,206
111,1,66,122
111,2,661,256
111,3,362,298
111,4,526,253
111,5,429,165
111,6,494,103
111,7,46,181
111,8,597,267
112,1,340,114
112,2,445,257
112,3,747,285
112,4,357,140
112,5,115,104
112,6,179,153
112,7,166,235
112,8,112,191
113,1,390,208
113,2,372,237
113,3,716,250
113,4,588,139
113,5,693,254
113,6,608,184
113,7,255,289
113,8,653,166
114,1,748,222
114,2,52,298
114,3,682,179
114,4,687,297
114,5,582,280
114,6,484,243
114,7,304,192
114,8,555,235
115,1,300,133
115,2,278,102
115,3,591,221
115,4,122,267
115,5,391,138
115,6,663,158
115,7,430,293
115,8,112,107
116,1,659,134
116,2,145,115
116,3,576,228
116,4,229,242
116,5,206,166
116,6,640,193
116,7,775,138
116,8,201,288
117,1,185,235
117,2,49,189
117,3,746,162
117,4,472,227
117,5,238,262
117,6,372,199
117,7,491,154
117,8,351,106
118,1,130,268
118,2,770,103
118,3,87,265
118,4,431,272
118,5,379,115
118,6,253,244
118,7,405,204
118,8,404,268
119,1,662,157
119,2,51,164
119,3,41,167
119,4,746,211
119,5,267,159
119,6,382,152
119,7,353,294
119,8,455,264
120,1,305,176
120,2,530,155
120,3,603,140
120,4,508,296
120,5,293,292
120,6,159,176
120,7,309,122
120,8,359,101
