shipment_id,order_id,shipping_mode,delivery_date,delivery_status,shipping_cost
50100,10100,Rail,2025-10-31,Delayed,26.8
50101,10101,Air,2025-01-09,Delivered,47.52
50102,10102,Rail,2025-11-05,Delayed,12.6
50103,10103,Road,2025-05-12,Delayed,31.96
50104,10104,Road,2025-04-30,Delivered,15.92
50105,10105,Rail,2025-01-29,Delivered,46.87
50106,10106,Rail,2025-08-06,Delivered,39.18
50107,10107,Road,2025-03-25,Delayed,46.24
50108,10108,Rail,2025-09-25,Delivered,25.57
50109,10109,Road,2025-01-17,Delivered,35.23
50110,10110,Road,2025-02-24,Delivered,43.24
50111,10111,Road,2025-05-27,Delivered,39.6
50112,10112,Rail,2025-12-21,Delivered,46.24
50113,10113,Air,2025-02-12,Delivered,43.25
50114,10114,Air,2025-02-02,Delivered,40.45
50115,10115,Road,2025-04-03,Delivered,17.34
50116,10116,Road,2025-06-29,Delivered,45.04
50117,10117,Air,2025-02-25,Delivered,29.18
50118,10118,Road,2025-10-01,Delivered,34.15
50119,10119,Rail,2025-01-13,Delivered,36.08
50120,10120,Rail,2025-07-25,Delivered,33.85
50121,10121,Rail,2025-11-30,Delivered,8.51
50122,10122,Air,2025-07-08,Delivered,46.43
50123,10123,Road,2025-02-27,Delayed,49.52
50124,10124,Road,2025-08-31,Delivered,9.8
50125,10125,Rail,2025-12-17,Delivered,40.21
50126,10126,Rail,2025-12-11,Delivered,22.24
50127,10127,Air,2025-10-31,Delivered,47.12
50128,10128,Road,2025-04-05,Delivered,44.26
50129,10129,Air,2025-07-16,Delivered,15.84
50130,10130,Road,2025-01-06,Delayed,24.73
50131,10131,Air,2025-10-21,Delivered,45.94
50132,10132,Road,2025-03-07,Delivered,29.97
50133,10133,Road,2025-09-10,Delivered,15.79
50134,10134,Road,2025-06-16,Delayed,40.33
50135,10135,Road,2025-02-25,Delayed,26.67
50136,10136,Road,2025-11-28,Delivered,29.17
50137,10137,Air,2025-12-11,Delivered,38.32
50138,10138,Road,2025-12-04,Delivered,25.22
50139,10139,Road,2025-03-18,Delayed,6.13
50140,10140,Air,2025-02-12,Delivered,13.66
50141,10141,Road,2025-08-28,Delayed,35.09
50142,10142,Rail,2025-03-29,Delayed,26.38
50143,10143,Road,2025-03-18,Delivered,49.93
50144,10144,Air,2025-02-03,Delayed,40.55
50145,10145,Air,2025-12-10,Delayed,9.27
50146,10146,Air,2025-02-25,Delivered,44.17
50147,10147,Rail,2025-12-16,Delivered,45.44
50148,10148,Rail,2025-02-14,Delivered,23.54
50149,10149,Air,2025-02-09,Delivered,25.02
50150,10150,Air,2026-01-03,Delivered,29.41
50151,10151,Road,2025-05-07,Delivered,10.74
50152,10152,Air,2025-05-20,Delivered,26.13
50153,10153,Rail,2025-11-02,Delivered,41.51
50154,10154,Rail,2025-04-01,Delivered,33.56
50155,10155,Rail,2025-04-18,Delivered,32.05
50156,10156,Road,2025-10-31,Delivered,6.31
50157,10157,Road,2025-02-18,Delivered,5.87
50158,10158,Rail,2025-02-20,Delivered,18.13
50159,10159,Rail,2025-05-20,Delivered,33.08
50160,10160,Rail,2025-03-16,Delivered,38.81
50161,10161,Rail,2025-06-03,Delivered,13.61
50162,10162,Rail,2025-09-02,Delivered,5.59
50163,10163,Road,2025-11-30,Delivered,37.6
50164,10164,Road,2025-01-18,Delayed,32.66
50165,10165,Rail,2025-06-15,Delivered,42.21
50166,10166,Road,2026-01-01,Delivered,9.01
50167,10167,Rail,2025-05-06,Delivered,40.33
50168,10168,Air,2025-07-14,Delivered,33.07
50169,10169,Air,2025-05-20,Delayed,39.66
50170,10170,Rail,2025-06-13,Delivered,6.68
50171,10171,Road,2025-08-29,Delayed,28.39
50172,10172,Air,2025-02-20,Delivered,36.51
50173,10173,Air,2025-10-08,Delayed,36.86
50174,10174,Road,2025-05-14,Delayed,26.27
50175,10175,Rail,2025-06-06,Delayed,9.82
50176,10176,Rail,2025-05-09,Delivered,19.1
50177,10177,Air,2025-06-29,Delivered,5.47
50178,10178,Air,2025-01-27,Delivered,22.75
50179,10179,Rail,2025-04-29,Delivered,41.76
50180,10180,Air,2025-04-02,Delayed,24.66
50181,10181,Rail,2025-10-11,Delivered,43.57
50182,10182,Air,2025-10-07,Delivered,37.82
50183,10183,Road,2025-02-24,Delivered,27.4
50184,10184,Air,2025-09-02,Delayed,19.33
50185,10185,Air,2025-06-16,Delivered,26.78
50186,10186,Rail,2025-04-22,Delivered,25.77
50187,10187,Rail,2025-03-17,Delivered,9.57
50188,10188,Road,2025-02-04,Delivered,46.84
50189,10189,Road,2025-06-28,Delivered,35.08
50190,10190,Air,2025-07-23,Delivered,44.08
50191,10191,Rail,2025-09-18,Delivered,11.47
50192,10192,Air,2025-01-24,Delivered,28.1
50193,10193,Road,2025-03-31,Delivered,32.13
50194,10194,Road,2025-03-07,Delivered,26.98
50195,10195,Air,2025-02-17,Delivered,49.89
50196,10196,Rail,2025-05-11,Delivered,18.95
50197,10197,Air,2025-02-17,Delayed,26.59
50198,10198,Road,2025-11-09,Delivered,27.51
50199,10199,Air,2025-02-13,Delayed,34.05
50200,10200,Rail,2025-10-31,Delayed,47.84
50201,10201,Rail,2025-10-13,Delayed,40.6
50202,10202,Road,2025-04-30,Delivered,17.85
50203,10203,Rail,2025-01-21,Delivered,20.74
50204,10204,Air,2025-06-25,Delivered,5.75
50205,10205,Road,2025-01-13,Delayed,5.98
50206,10206,Rail,2025-03-17,Delivered,38.0
50207,10207,Air,2025-02-28,Delivered,6.79
50208,10208,Road,2025-07-25,Delivered,8.78
50209,10209,Air,2025-01-19,Delivered,13.89
50210,10210,Road,2025-04-19,Delayed,15.47
50211,10211,Rail,2026-01-01,Delivered,25.05
50212,10212,Rail,2025-01-27,Delivered,34.71
50213,10213,Road,2025-02-04,Delivered,36.08
50214,10214,Air,2026-01-05,Delayed,37.78
50215,10215,Rail,2025-09-07,Delivered,40.65
50216,10216,Road,2025-10-31,Delayed,47.84
50217,10217,Road,2025-01-28,Delayed,36.73
50218,10218,Air,2025-03-13,Delayed,44.72
50219,10219,Air,2025-08-25,Delivered,34.44
50220,10220,Air,2025-04-26,Delivered,25.53
50221,10221,Rail,2026-01-02,Delivered,7.41
50222,10222,Road,2025-03-16,Delivered,25.02
50223,10223,Rail,2025-01-23,Delivered,42.79
50224,10224,Road,2025-03-14,Delivered,45.79
50225,10225,Road,2025-05-01,Delivered,48.7
50226,10226,Road,2025-10-09,Delivered,38.51
50227,10227,Road,2025-09-14,Delivered,23.23
50228,10228,Rail,2025-09-07,Delayed,39.28
50229,10229,Air,2025-06-28,Delivered,48.51
50230,10230,Air,2025-04-09,Delivered,25.49
50231,10231,Road,2025-12-24,Delivered,13.48
50232,10232,Rail,2026-01-04,Delivered,14.26
50233,10233,Air,2025-05-05,Delivered,17.0
50234,10234,Road,2025-05-31,Delivered,5.59
50235,10235,Air,2025-04-28,Delivered,35.37
50236,10236,Rail,2025-12-26,Delivered,24.25
50237,10237,Air,2025-08-17,Delivered,21.15
50238,10238,Rail,2025-03-18,Delivered,12.2
50239,10239,Road,2025-03-01,Delivered,15.63
50240,10240,Air,2025-01-08,Delayed,31.5
50241,10241,Road,2025-01-27,Delivered,32.18
50242,10242,Air,2025-05-17,Delivered,24.06
50243,10243,Air,2025-12-22,Delivered,36.78
50244,10244,Road,2025-10-30,Delivered,17.82
50245,10245,Rail,2025-03-04,Delivered,24.5
50246,10246,Rail,2025-05-12,Delayed,8.95
50247,10247,Rail,2025-07-13,Delivered,23.03
50248,10248,Road,2025-02-09,Delivered,46.4
50249,10249,Rail,2025-12-24,Delayed,18.14
50250,10250,Rail,2025-09-04,Delivered,36.39
50251,10251,Rail,2025-01-27,Delivered,20.66
50252,10252,Air,2025-08-03,Delivered,29.48
50253,10253,Road,2025-11-27,Delayed,9.14
50254,10254,Rail,2025-02-19,Delayed,48.62
50255,10255,Air,2025-10-27,Delivered,10.69
50256,10256,Rail,2025-11-03,Delivered,23.85
50257,10257,Rail,2025-02-02,Delayed,40.15
50258,10258,Air,2026-01-06,Delivered,41.84
50259,10259,Air,2025-12-21,Delivered,8.88
50260,10260,Air,2025-04-22,Delivered,36.21
50261,10261,Road,2025-07-01,Delivered,41.2
50262,10262,Road,2025-09-02,Delivered,45.34
50263,10263,Road,2025-07-01,Delivered,48.84
50264,10264,Road,2025-07-06,Delivered,24.23
50265,10265,Air,2025-07-21,Delivered,49.41
50266,10266,Rail,2025-07-16,Delivered,35.58
50267,10267,Rail,2025-04-18,Delivered,15.5
50268,10268,Road,2025-06-17,Delivered,27.95
50269,10269,Air,2025-08-20,Delayed,15.82
50270,10270,Rail,2025-11-02,Delivered,26.12
50271,10271,Air,2025-01-09,Delivered,40.01
50272,10272,Road,2025-07-22,Delayed,47.25
50273,10273,Air,2025-04-21,Delayed,23.47
50274,10274,Air,2026-01-02,Delayed,10.13
50275,10275,Road,2025-04-23,Delivered,17.78
50276,10276,Air,2025-07-12,Delivered,20.24
50277,10277,Road,2025-07-27,Delayed,16.63
50278,10278,Air,2025-08-27,Delivered,44.93
50279,10279,Air,2025-12-14,Delivered,36.22
50280,10280,Road,2025-09-18,Delivered,29.78
50281,10281,Rail,2025-11-15,Delivered,35.23
50282,10282,Rail,2025-10-22,Delivered,42.0
50283,10283,Road,2025-02-13,Delivered,5.71
50284,10284,Road,2025-12-28,Delivered,32.15
50285,10285,Rail,2025-02-06,Delivered,18.53
50286,10286,Road,2025-04-24,Delivered,15.24
50287,10287,Air,2025-12-15,Delayed,40.37
50288,10288,Road,2025-04-29,Delivered,15.08
50289,10289,Road,2025-07-17,Delivered,23.05
50290,10290,Road,2025-12-11,Delivered,40.41
50291,10291,Air,2025-05-15,Delivered,26.71
50292,10292,Rail,2025-04-29,Delivered,29.85
50293,10293,Rail,2025-03-10,Delayed,42.55
50294,10294,Air,2025-04-10,Delivered,14.95
50295,10295,Rail,2025-03-21,Delivered,24.79
50296,10296,Road,2025-02-22,Delivered,29.21
50297,10297,Rail,2025-06-11,Delayed,41.31
50298,10298,Road,2025-06-11,Delivered,13.88
50299,10299,Road,2025-05-13,Delayed,15.04
50300,10300,Air,2025-08-03,Delivered,25.35
50301,10301,Air,2025-05-01,Delayed,15.07
50302,10302,Road,2025-08-22,Delayed,14.5
50303,10303,Road,2025-08-30,Delayed,49.02
50304,10304,Rail,2025-09-11,Delayed,37.07
50305,10305,Rail,2025-03-23,Delayed,37.41
50306,10306,Rail,2025-06-25,Delivered,18.76
50307,10307,Rail,2025-03-28,Delivered,36.72
50308,10308,Air,2025-09-22,Delayed,48.53
50309,10309,Rail,2025-05-05,Delayed,22.69
50310,10310,Air,2025-02-28,Delayed,39.33
50311,10311,Road,2025-11-15,Delivered,10.53
50312,10312,Road,2025-01-27,Delivered,9.61
50313,10313,Road,2025-09-19,Delivered,5.71
50314,10314,Air,2025-11-26,Delivered,11.16
50315,10315,Road,2025-11-02,Delayed,18.74
50316,10316,Rail,2025-03-01,Delayed,18.02
50317,10317,Rail,2025-06-03,Delivered,9.24
50318,10318,Air,2025-05-05,Delivered,21.82
50319,10319,Rail,2025-09-26,Delivered,11.07
50320,10320,Road,2025-10-15,Delivered,22.96
50321,10321,Road,2025-02-25,Delayed,6.94
50322,10322,Rail,2025-07-28,Delivered,23.11
50323,10323,Road,2025-07-27,Delayed,6.65
50324,10324,Road,2025-02-18,Delivered,32.06
50325,10325,Road,2025-12-13,Delayed,20.15
50326,10326,Road,2025-03-25,Delivered,22.77
50327,10327,Road,2025-05-01,Delivered,9.23
50328,10328,Air,2025-05-06,Delivered,16.08
50329,10329,Rail,2025-02-06,Delivered,33.29
50330,10330,Air,2026-01-01,Delayed,16.96
50331,10331,Rail,2025-02-23,Delivered,7.13
50332,10332,Air,2025-02-24,Delivered,34.81
50333,10333,Road,2025-08-26,Delivered,35.99
50334,10334,Rail,2025-05-12,Delivered,47.72
50335,10335,Air,2025-01-28,Delayed,6.39
50336,10336,Air,2025-09-19,Delayed,15.7
50337,10337,Air,2025-08-09,Delayed,14.12
50338,10338,Rail,2025-01-17,Delivered,42.66
50339,10339,Air,2025-06-13,Delayed,29.4
50340,10340,Rail,2025-02-28,Delivered,10.21
50341,10341,Road,2025-06-07,Delivered,42.17
50342,10342,Rail,2025-09-05,Delivered,19.93
50343,10343,Air,2025-10-26,Delivered,33.05
50344,10344,Road,2025-10-03,Delivered,39.43
50345,10345,Road,2025-05-20,Delivered,32.65
50346,10346,Air,2025-02-26,Delivered,42.99
50347,10347,Rail,2025-01-20,Delivered,22.87
50348,10348,Road,2025-02-09,Delivered,29.38
50349,10349,Road,2025-03-13,Delivered,41.47
50350,10350,Road,2025-02-03,Delivered,49.0
50351,10351,Road,2025-06-18,Delivered,32.22
50352,10352,Air,2025-07-14,Delivered,39.48
50353,10353,Road,2025-06-03,Delayed,44.59
50354,10354,Air,2025-01-07,Delivered,44.31
50355,10355,Air,2025-03-03,Delayed,37.14
50356,10356,Road,2025-12-29,Delivered,38.26
50357,10357,Air,2025-08-22,Delivered,47.27
50358,10358,Road,2025-05-21,Delivered,28.0
50359,10359,Rail,2025-09-12,Delivered,46.55
50360,10360,Rail,2025-08-09,Delivered,46.05
50361,10361,Road,2025-11-19,Delayed,36.92
50362,10362,Rail,2025-10-11,Delayed,37.78
50363,10363,Rail,2025-02-20,Delivered,30.94
50364,10364,Air,2025-11-29,Delivered,31.25
50365,10365,Air,2025-08-07,Delayed,19.83
50366,10366,Road,2025-09-19,Delivered,41.59
50367,10367,Road,2025-02-15,Delayed,28.98
50368,10368,Road,2025-04-04,Delivered,21.27
50369,10369,Air,2025-12-10,Delivered,43.76
50370,10370,Air,2025-05-30,Delivered,41.7
50371,10371,Rail,2025-07-01,Delivered,48.82
50372,10372,Air,2025-05-04,Delivered,5.58
50373,10373,Rail,2025-08-16,Delivered,14.38
50374,10374,Rail,2025-09-09,Delivered,31.51
50375,10375,Road,2025-12-05,Delivered,27.02
50376,10376,Air,2025-04-29,Delivered,33.64
50377,10377,Air,2025-11-21,Delivered,49.46
50378,10378,Rail,2025-02-25,Delivered,10.25
50379,10379,Rail,2025-02-25,Delivered,39.42
50380,10380,Air,2025-10-22,Delivered,40.89
50381,10381,Air,2025-01-19,Delivered,10.25
50382,10382,Rail,2025-09-22,Delayed,18.73
50383,10383,Road,2025-01-29,Delivered,46.05
50384,10384,Rail,2025-11-11,Delivered,10.88
50385,10385,Air,2025-07-08,Delayed,28.3
50386,10386,Road,2026-01-07,Delivered,28.09
50387,10387,Air,2025-11-23,Delivered,26.16
50388,10388,Rail,2025-07-28,Delivered,13.96
50389,10389,Rail,2025-03-11,Delivered,9.61
50390,10390,Rail,2025-06-19,Delivered,18.37
50391,10391,Road,2025-09-03,Delivered,27.02
50392,10392,Road,2025-07-04,Delivered,32.27
50393,10393,Air,2025-09-16,Delivered,28.77
50394,10394,Air,2025-04-22,Delivered,10.9
50395,10395,Road,2025-01-10,Delivered,23.23
50396,10396,Road,2025-09-13,Delayed,17.51
50397,10397,Road,2025-08-31,Delivered,11.19
50398,10398,Rail,2025-06-15,Delayed,26.8
50399,10399,Road,2025-04-27,Delayed,39.9
50400,10400,Rail,2025-06-24,Delivered,34.16
50401,10401,Road,2025-03-19,Delayed,30.77
50402,10402,Air,2025-11-26,Delayed,11.63
50403,10403,Rail,2025-11-11,Delayed,25.2
50404,10404,Rail,2025-01-24,Delivered,44.16
50405,10405,Road,2025-02-04,Delayed,24.99
50406,10406,Air,2025-07-10,Delivered,8.09
50407,10407,Air,2025-09-04,Delivered,31.44
50408,10408,Rail,2025-10-28,Delivered,48.51
50409,10409,Air,2025-06-19,Delivered,42.94
50410,10410,Rail,2025-10-19,Delivered,16.46
50411,10411,Air,2025-08-21,Delivered,31.44
50412,10412,Road,2025-04-27,Delayed,49.13
50413,10413,Air,2025-02-02,Delivered,22.16
50414,10414,Air,2025-03-14,Delivered,12.97
50415,10415,Air,2025-10-12,Delivered,14.52
50416,10416,Rail,2025-06-22,Delivered,36.42
50417,10417,Rail,2025-03-02,Delivered,41.99
50418,10418,Road,2025-04-14,Delivered,16.52
50419,10419,Air,2025-07-12,Delivered,17.69
50420,10420,Air,2025-05-02,Delayed,20.29
50421,10421,Road,2025-04-05,Delivered,29.88
50422,10422,Air,2025-10-01,Delayed,12.44
50423,10423,Air,2025-01-17,Delivered,10.8
50424,10424,Road,2025-12-22,Delivered,19.36
50425,10425,Air,2025-08-25,Delivered,29.84
50426,10426,Rail,2025-02-24,Delivered,30.53
50427,10427,Air,2025-06-25,Delivered,36.76
50428,10428,Air,2025-05-21,Delivered,21.72
50429,10429,Road,2025-08-31,Delivered,38.55
50430,10430,Road,2026-01-01,Delivered,25.22
50431,10431,Rail,2025-06-09,Delivered,29.93
50432,10432,Rail,2025-10-23,Delayed,33.84
50433,10433,Road,2025-04-28,Delayed,28.91
50434,10434,Air,2025-10-06,Delivered,30.15
50435,10435,Road,2025-01-25,Delivered,48.21
50436,10436,Road,2026-01-06,Delayed,21.78
50437,10437,Air,2025-01-27,Delivered,16.75
50438,10438,Rail,2025-08-26,Delivered,26.89
50439,10439,Rail,2025-08-12,Delayed,46.38
50440,10440,Rail,2025-05-08,Delivered,7.54
50441,10441,Air,2025-12-21,Delivered,26.2
50442,10442,Air,2025-07-27,Delivered,43.41
50443,10443,Road,2025-05-05,Delivered,22.43
50444,10444,Road,2025-06-30,Delivered,31.53
50445,10445,Air,2025-06-15,Delayed,29.07
50446,10446,Rail,2025-01-17,Delivered,30.99
50447,10447,Air,2025-10-28,Delivered,16.46
50448,10448,Air,2025-10-20,Delivered,28.96
50449,10449,Air,2025-03-18,Delivered,47.1
50450,10450,Air,2025-09-06,Delivered,11.58
50451,10451,Rail,2025-08-06,Delivered,42.09
50452,10452,Air,2025-05-20,Delivered,31.95
50453,10453,Road,2025-02-08,Delayed,14.42
50454,10454,Air,2025-05-01,Delivered,19.59
50455,10455,Rail,2025-04-02,Delivered,29.09
50456,10456,Road,2025-08-30,Delivered,43.38
50457,10457,Air,2025-08-09,Delayed,27.32
50458,10458,Rail,2025-02-28,Delivered,16.15
50459,10459,Air,2025-07-30,Delivered,14.15
50460,10460,Rail,2025-06-22,Delayed,33.38
50461,10461,Air,2025-07-29,Delivered,14.1
50462,10462,Air,2025-04-25,Delivered,47.37
50463,10463,Air,2025-09-16,Delivered,6.1
50464,10464,Road,2025-08-13,Delayed,11.37
50465,10465,Air,2025-12-20,Delivered,20.32
50466,10466,Road,2025-01-13,Delivered,40.63
50467,10467,Rail,2025-07-22,Delivered,32.34
50468,10468,Air,2025-08-05,Delivered,12.84
50469,10469,Road,2025-02-07,Delivered,28.41
50470,10470,Rail,2025-08-05,Delivered,38.17
50471,10471,Rail,2025-10-26,Delivered,26.88
50472,10472,Air,2025-12-24,Delivered,32.94
50473,10473,Rail,2025-05-25,Delivered,25.19
50474,10474,Rail,2025-06-09,Delivered,34.23
50475,10475,Road,2025-03-09,Delivered,12.24
50476,10476,Air,2025-07-20,Delivered,11.07
50477,10477,Road,2025-06-19,Delivered,34.27
50478,10478,Road,2025-08-28,Delayed,30.26
50479,10479,Road,2025-11-26,Delivered,8.42
50480,10480,Road,2025-06-30,Delivered,35.3
50481,10481,Rail,2025-08-02,Delivered,33.81
50482,10482,Air,2025-12-28,Delayed,8.46
50483,10483,Rail,2025-06-16,Delivered,30.86
50484,10484,Rail,2025-03-02,Delayed,30.44
50485,10485,Air,2025-12-25,Delivered,30.58
50486,10486,Air,2025-08-18,Delivered,37.62
50487,10487,Road,2025-05-25,Delivered,34.41
50488,10488,Air,2025-06-13,Delivered,24.77
50489,10489,Air,2025-06-01,Delivered,48.66
50490,10490,Road,2025-06-20,Delivered,11.71
50491,10491,Rail,2025-05-04,Delivered,33.89
50492,10492,Air,2025-05-08,Delivered,45.5
50493,10493,Air,2025-12-05,Delivered,15.02
50494,10494,Road,2025-10-11,Delivered,40.69
50495,10495,Road,2025-02-28,Delayed,21.58
50496,10496,Air,2025-03-08,Delivered,15.1
50497,10497,Rail,2025-03-05,Delivered,47.92
50498,10498,Road,2025-05-13,Delayed,11.02
50499,10499,Air,2025-10-10,Delivered,15.37
50500,10500,Air,2025-05-15,Delayed,12.52
50501,10501,Rail,2025-10-01,Delayed,5.53
50502,10502,Air,2025-02-06,Delivered,15.59
50503,10503,Road,2025-02-16,Delivered,29.27
50504,10504,Road,2025-08-24,Delivered,20.18
50505,10505,Road,2025-12-02,Delayed,48.04
50506,10506,Road,2025-03-07,Delivered,48.11
50507,10507,Road,2025-05-21,Delivered,13.16
50508,10508,Road,2025-09-27,Delivered,8.58
50509,10509,Air,2025-07-23,Delivered,8.15
50510,10510,Air,2025-07-16,Delivered,31.19
50511,10511,Road,2025-01-11,Delayed,46.04
50512,10512,Air,2025-05-16,Delayed,15.78
50513,10513,Rail,2025-06-11,Delivered,6.17
50514,10514,Rail,2025-11-21,Delivered,35.63
50515,10515,Rail,2025-03-06,Delayed,46.59
50516,10516,Air,2025-08-13,Delayed,22.69
50517,10517,Road,2025-04-15,Delivered,39.31
50518,10518,Rail,2025-07-19,Delivered,22.23
50519,10519,Rail,2025-11-09,Delivered,13.66
50520,10520,Road,2025-02-20,Delivered,5.34
50521,10521,Air,2025-11-22,Delivered,46.11
50522,10522,Air,2025-12-08,Delayed,47.13
50523,10523,Air,2025-06-18,Delivered,36.94
50524,10524,Road,2025-08-10,Delivered,34.61
50525,10525,Air,2025-09-04,Delivered,44.13
50526,10526,Air,2025-08-17,Delayed,10.8
50527,10527,Air,2025-03-10,Delivered,35.41
50528,10528,Rail,2025-12-08,Delivered,34.3
50529,10529,Rail,2025-12-07,Delivered,29.98
50530,10530,Air,2025-09-16,Delivered,29.06
50531,10531,Road,2025-04-27,Delivered,32.17
50532,10532,Road,2025-07-09,Delivered,43.47
50533,10533,Air,2025-11-09,Delivered,28.71
50534,10534,Road,2025-06-22,Delivered,27.52
50535,10535,Air,2025-11-27,Delivered,10.88
50536,10536,Road,2025-03-18,Delivered,44.04
50537,10537,Road,2025-04-19,Delivered,31.03
50538,10538,Rail,2025-07-25,Delayed,29.62
50539,10539,Road,2025-10-06,Delayed,24.44
50540,10540,Air,2025-03-14,Delayed,24.58
50541,10541,Air,2025-09-30,Delivered,13.7
50542,10542,Rail,2025-04-09,Delivered,17.64
50543,10543,Air,2025-11-29,Delayed,23.98
50544,10544,Road,2025-03-24,Delivered,40.99
50545,10545,Air,2025-12-31,Delayed,38.29
50546,10546,Rail,2025-07-14,Delivered,19.0
50547,10547,Air,2025-01-16,Delivered,48.03
50548,10548,Air,2025-08-12,Delivered,32.88
50549,10549,Air,2025-10-29,Delayed,30.86
50550,10550,Road,2025-12-06,Delivered,7.55
